Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
65.233,20.452,14.962,14.486,13.161,17.987,14.307,20.514,21.570,15.750,34.545,30.712,14.455,11.944,5.045,9.234,6.327,4.953,9.567,15.298,8.688,6.745,8.051
54.419,16.581,14.596,17.129,10.348,17.278,12.486,20.157,22.152,15.656,34.545,28.075,12.250,11.722,4.341,9.008,8.327,5.588,8.462,14.345,10.385,5.461,9.529
60.163,19.218,13.115,12.671,11.232,18.172,14.236,20.243,16.747,14.875,33.250,29.400,13.523,10.806,4.977,9.355,9.192,5.432,9.740,13.738,8.990,5.578,8.449
56.349,18.024,14.577,14.143,12.098,16.430,15.171,17.986,22.342,15.906,34.159,27.812,16.364,10.667,5.205,9.677,8.115,5.318,9.269,11.345,10.469,5.343,9.515
60.047,17.887,16.135,14.986,10.098,19.517,13.914,21.214,20.785,13.229,32.409,26.562,14.795,12.181,4.523,8.887,7.837,6.568,8.712,13.714,8.062,4.784,9.669
61.198,19.863,13.769,13.514,10.821,17.715,12.721,19.300,19.873,15.719,35.432,26.038,13.250,10.278,5.250,6.685,8.337,5.372,8.462,14.143,9.094,5.990,8.750
57.767,17.823,13.548,14.929,10.357,19.364,13.436,19.629,23.709,17.635,29.545,28.375,14.909,11.847,6.091,7.032,7.635,3.905,9.663,14.429,8.115,5.971,9.949
60.814,20.000,14.365,16.286,10.902,20.046,14.436,18.986,20.013,14.177,32.909,28.000,15.977,12.097,3.545,7.653,8.962,6.081,10.029,15.381,7.365,5.755,10.368
62.395,18.242,15.144,14.800,11.634,20.073,14.693,20.071,21.684,15.875,33.523,29.725,15.864,10.944,5.659,7.645,8.817,5.588,8.654,15.310,8.365,7.598,10.103
62.384,18.306,11.760,13.714,10.920,20.464,13.414,20.786,23.127,16.906,31.636,28.550,15.182,11.069,7.182,7.952,9.933,6.446,9.481,16.262,9.312,5.755,9.868
62.814,20.645,15.683,17.000,12.241,21.993,15.243,23.200,25.025,20.354,31.364,31.950,15.886,10.875,5.409,8.202,10.317,5.750,10.125,15.214,8.479,5.755,11.096
61.407,19.823,15.635,16.871,11.330,19.927,16.236,22.086,25.430,19.312,27.909,27.712,15.273,11.514,5.205,7.879,9.779,6.324,10.567,13.250,8.385,6.657,9.471
62.605,18.500,16.010,17.057,11.929,22.728,14.779,20.929,22.848,18.115,30.864,29.800,14.523,10.458,4.682,8.960,10.654,5.777,9.115,14.452,8.781,6.510,9.140
66.430,22.177,13.106,14.214,11.946,21.470,16.500,19.171,20.215,18.760,33.636,28.300,16.455,10.681,5.886,8.968,10.260,6.399,10.423,15.238,8.885,4.725,8.765
68.256,18.387,12.577,14.829,10.607,20.980,17.093,23.671,24.468,18.646,27.205,32.338,12.205,10.278,5.227,8.556,9.115,4.723,10.577,14.679,7.969,6.020,8.463
